,year,transmission,price,mileage,desc,XLE,XE,J ,E ,G ,variant
120,2015,Manual,360000,65000,Toyota Vios J Manual,0,0,1,0,0,J 
121,2005,Automatic,247000,125000,2005 Toyota Vios 1.5g color Beige Auto,0,0,0,1,1,E 
122,2015,Automatic,458000,75000,Toyota Vios 1.3 E Auto,0,0,0,1,0,E 
123,2007,Manual,210000,110000,Toyota Vios 1.3J Manual,0,0,1,0,0,J 
124,2018,Automatic,570000,15000,Toyota Vios 1.5 E (A),0,0,0,1,0,E 
125,2013,Manual,350000,110000,Toyota Vios 1.5 G (M),0,0,0,0,1,G 
127,2021,Automatic,625000,15000,2021 Toyota Vios XLE Matic at ONEWAY CARS Auto,1,0,0,1,0,XLE
128,2015,Manual,280000,65000,Toyota Vios 1.3 J Manual,0,0,1,0,0,J 
129,2008,Manual,298000,85000,Toyota Vios 1.5 E (M),0,0,0,1,0,E 
130,2015,Automatic,458000,75000,Toyota Vios E Auto,0,0,0,1,0,E 
132,2011,Automatic,318000,85000,Toyota Vios 1.3 E vvti 2011 automatic gasoline at 2012 2010 g j 1.5 Auto,0,0,1,1,1,J 
134,2017,Automatic,530000,35000,Toyota Vios 2017 1.5 G Auto,0,0,0,0,1,G 
136,2020,Manual,528000,5000,2020 Toyota vios 1.3 XLE CVT Manual,1,0,0,1,0,XLE
137,2019,Manual,367000,5000,9T KMS Only! 2019 Chevrolet Sail 1.3L M/T vs Civic Honda Toyota Altis Vios Raize City Accent Brio Amaze Ciaz Ford Fiesta Suzuki Swift Nissan Almera Wigo Hyundai Reina Avanza Seltos Soluto Eon Lancer Mazda 2 3 Elantra Rio Picanto Mitsubishi G4 Mirage Yaris Dzire 2017 2018 2016 2015 2014 2013 2012 2011 2021 2022 2019 Manual,0,0,0,1,0,E 
138,2020,Manual,356000,5000,5T KMS Only! 2020 Suzuki Dzire 1.2L M/T vs Civic Honda Toyota Altis Vios City Accent Brio Amaze Ciaz Ford Fiesta Suzuki Swift Nissan Almera Wigo Hyundai Reina Avanza Seltos Soluto Eon Lancer Mazda 2 3 Elantra Rio Picanto Mitsubishi G4 Mirage Yaris Sail 2017 2018 2016 2015 2014 2013 2021 2022 2019 Manual,0,0,0,1,0,E 
140,2017,Automatic,500000,75000,Toyota Vios 1.5 G (A),0,0,0,0,1,G 
141,2022,Automatic,648000,5000,2022 Toyota vios 1.3 XLE CVT Auto,1,0,0,1,0,XLE
142,2014,Manual,309000,95000,Toyota Vios 1.5 E (M),0,0,0,1,0,E 
143,2017,Automatic,429000,45000,Toyota Vios Toyota Vios 2017 Black A/T 1.3 E Auto,0,0,0,1,0,E 
144,2016,Manual,300000,55000,Toyota Vios J Manual,0,0,1,0,0,J 
145,2018,Manual,350000,55000,Toyota Vios E Manual,0,0,0,1,0,E 
146,2021,Automatic,648000,25000,Toyota Vios XLE 1.3 Auto,1,0,0,1,0,XLE
147,2019,Manual,385000,65000,Toyota Vios 1.3 J Manual,0,0,1,0,0,J 
148,2012,Manual,295000,65000,Toyota Vios 1.3 E MT Manual,0,0,0,1,0,E 
149,2021,Automatic,520000,5000,Toyota Vios XE Sedan Auto,0,1,0,1,0,XE
150,2004,Manual,215000,125000,Toyota Vios 1.5 E (M),0,0,0,1,0,E 
151,2015,Manual,280000,65000,Toyota Vios 1.3 J Manual,0,0,1,0,0,J 
152,2015,Automatic,400000,95000,Toyota Vios 1.5 E (A),0,0,0,1,0,E 
153,2021,Automatic,610000,25000,Toyota Vios XLE 1.3 Auto,1,0,0,1,0,XLE
154,2016,Automatic,380000,35000,Toyota Vios E Auto,0,0,0,1,0,E 
